family,size,softmax_count,workers,rounds_per_worker,total_inferences,patched_ok,patched_fail,patched_elapsed_s,orig_ok,orig_fail,orig_status,orig_elapsed_s
yolov3,u,1,64,200,12800,64,0,53.35,0,64,crashed,113.92
yolov3,-tinyu,1,64,200,12800,64,0,22.29,?,?,crashed,?
yolov5,nu,1,64,200,12800,64,0,20.42,0,64,crashed,113.92
yolov5,su,1,64,200,12800,64,0,26.37,?,?,crashed,?
yolov5,mu,1,64,200,12800,64,0,30.83,?,?,crashed,?
yolov5,lu,1,64,200,12800,64,0,37.08,?,?,crashed,?
yolov5,xu,1,64,200,12800,64,0,52.80,?,?,crashed,?
yolov8,n,1,64,200,12800,64,0,23.88,?,?,crashed,?
yolov8,s,1,64,200,12800,64,0,29.85,?,?,crashed,?
yolov8,m,1,64,200,12800,64,0,38.55,?,?,crashed,?
yolov8,l,1,64,200,12800,64,0,41.93,0,64,crashed,144.9
yolov8,x,1,64,200,12800,64,0,38.40,?,?,crashed,?
yolov9,t,1,64,200,12800,64,0,30.10,?,?,crashed,?
yolov9,s,1,64,200,12800,64,0,38.09,?,?,crashed,?
yolov9,m,1,64,200,12800,64,0,46.70,?,?,crashed,?
yolov9,c,1,64,200,12800,64,0,48.01,?,?,crashed,?
yolov9,e,1,64,200,12800,64,0,58.90,?,?,crashed,?
yolov10,n,2,64,200,12800,64,0,24.61,?,?,crashed,?
yolov10,s,2,64,200,12800,64,0,26.62,64,0,no_race_observed,24.73
yolov10,m,2,64,200,12800,64,0,34.00,64,0,no_race_observed,?
yolov10,b,2,64,200,12800,64,0,32.10,64,0,no_race_observed,?
yolov10,l,2,64,200,12800,64,0,38.10,64,0,no_race_observed,?
yolov10,x,2,64,200,12800,64,0,50.89,64,0,no_race_observed,?
yolo11,n,2,64,200,12800,64,0,24.20,?,?,crashed,?
yolo11,s,2,64,200,12800,64,0,21.40,?,?,crashed,?
yolo11,m,3,64,200,12800,64,0,30.40,?,?,crashed,?
yolo11,l,3,64,200,12800,64,0,33.70,?,?,crashed,?
yolo11,x,3,64,200,12800,64,0,43.10,?,?,crashed,?
yolo12,n,9,64,200,12800,64,0,30.70,?,?,crashed,?
yolo12,s,9,64,200,12800,64,0,31.60,?,?,crashed,?
yolo12,m,9,64,200,12800,64,0,31.80,?,?,crashed,?
yolo12,l,9,64,200,12800,64,0,45.20,?,?,crashed,?
yolo12,x,9,64,200,12800,64,0,52.60,?,?,crashed,?
