name,family,size_order,stress_method,stress_workers,stress_total_rounds,stress_total_inferences,stress_inferences_succeeded,stress_passed,stress_elapsed_s,stress_throughput_imgs_per_s,lat_gpu_orig_p50_ms,lat_gpu_patched_p50_ms,lat_gpu_overhead_p50_ms,lat_gpu_orig_mean_ms,lat_gpu_patched_mean_ms,map_orig_50_95,map_patched_50_95,delta_map_50_95,map_orig_50,map_patched_50
yolov3u,yolov3,0,chunked-10x500r,128,5000,640000,640000,True,2397.85,266.9,5.683,5.57,-0.113,5.797,5.879,0.6242179273900328,0.6242179273900328,0.0,0.7856730601766803,0.7856730601766803
yolov3-tinyu,yolov3,1,single-128w-5000r,128,5000,640000,640000,True,752.7,850.3,1.622,1.625,0.003,1.747,1.757,0.3930038068625659,0.3930038068625659,0.0,0.565984021781691,0.565984021781691
yolov5nu,yolov5,2,single-128w-5000r,128,5000,640000,640000,True,1311.74,487.9,3.1,3.13,0.03,3.198,3.198,0.4132918002883079,0.4132918002883079,0.0,0.5723650838203101,0.5723650838203101
yolov5su,yolov5,3,single-128w-5000r,128,5000,640000,640000,True,936.32,683.5,2.86,3.191,0.331,3.048,3.355,0.5608569560268885,0.5608569560268885,0.0,0.7322809264942371,0.7322809264942371
yolov5mu,yolov5,4,single-128w-5000r,128,5000,640000,640000,True,1279.45,500.2,4.378,4.393,0.015,4.551,4.509,0.599838969836628,0.599838969836628,0.0,0.7669842638552441,0.7669842638552441
yolov5lu,yolov5,5,single-128w-5000r,128,5000,640000,640000,True,1691.4,378.4,4.52,4.743,0.223,4.564,5.025,0.6473716067555464,0.6473716067555464,0.0,0.8236503455362557,0.8236503455362557
yolov5xu,yolov5,6,chunked-10x500r,128,5000,640000,640000,True,2518.63,254.1,6.239,6.193,-0.046,6.295,6.26,0.657769764459183,0.657769764459183,0.0,0.8251546058432749,0.8251546058432749
yolov8n,yolov8,7,single-128w-5000r,128,5000,640000,640000,True,1482.84,431.6,2.78,2.825,0.045,2.783,2.83,0.4537076833576252,0.4537076833576252,0.0,0.6061202975254925,0.6061202975254925
yolov8s,yolov8,8,single-128w-5000r,128,5000,640000,640000,True,892.16,717.4,3.086,3.094,0.008,3.13,3.103,0.5980401071458855,0.5980401071458855,0.0,0.7726683328573629,0.7726683328573629
yolov8m,yolov8,9,single-128w-5000r,128,5000,640000,640000,True,1433.79,446.4,3.782,3.817,0.035,3.874,3.893,0.6129283241867702,0.6129283241867702,0.0,0.7775418572804389,0.7775418572804389
