scheme,workers,rounds_per_worker,imgs_per_sec,ok_workers,fail_workers,model,description
ult_lock,1,1500,157.73,1,0,yolov8n_sta_nonms.onnx,Original ONNX + shared session + exec lock (dghs-imgutils current)
ult_lock,2,750,223.55,2,0,yolov8n_sta_nonms.onnx,
ult_lock,4,375,247.93,4,0,yolov8n_sta_nonms.onnx,
ult_lock,8,187,247.27,8,0,yolov8n_sta_nonms.onnx,
ult_lock,16,93,266.19,16,0,yolov8n_sta_nonms.onnx,
ult_lock,32,46,278.30,32,0,yolov8n_sta_nonms.onnx,
ult_per_thread,1,1500,162.00,1,0,yolov8n_sta_nonms.onnx,Original ONNX + one session per worker thread
ult_per_thread,2,750,203.20,2,0,yolov8n_sta_nonms.onnx,
ult_per_thread,4,375,273.20,4,0,yolov8n_sta_nonms.onnx,
ult_per_thread,8,187,256.20,8,0,yolov8n_sta_nonms.onnx,
ult_per_thread,16,93,175.70,16,0,yolov8n_sta_nonms.onnx,
ult_per_thread,32,46,96.50,32,0,yolov8n_sta_nonms.onnx,Degraded due to cuDNN handle contention
safe_nolock,1,1500,170.10,1,0,yolov8n_safe.onnx,Patched ONNX + shared session + NO lock (our recommendation)
safe_nolock,2,750,209.20,2,0,yolov8n_safe.onnx,
safe_nolock,4,375,268.80,4,0,yolov8n_safe.onnx,
safe_nolock,8,187,333.90,8,0,yolov8n_safe.onnx,
safe_nolock,16,93,396.80,16,0,yolov8n_safe.onnx,
safe_nolock,32,46,427.90,32,0,yolov8n_safe.onnx,Linear scaling to 32 workers
safe_lock,1,1500,174.60,1,0,yolov8n_safe.onnx,Patched ONNX + shared session + exec lock (reference)
safe_lock,2,750,227.30,2,0,yolov8n_safe.onnx,
safe_lock,4,375,255.50,4,0,yolov8n_safe.onnx,
safe_lock,8,187,278.60,8,0,yolov8n_safe.onnx,
safe_lock,16,93,280.80,16,0,yolov8n_safe.onnx,
safe_lock,32,46,289.80,32,0,yolov8n_safe.onnx,
safe_cpu,1,200,31.90,1,0,yolov8n_safe.onnx,Patched ONNX on CPU EP (no race possible on CPU)
safe_cpu,2,100,49.50,2,0,yolov8n_safe.onnx,
safe_cpu,4,50,79.70,4,0,yolov8n_safe.onnx,
safe_cpu,8,25,108.70,8,0,yolov8n_safe.onnx,
safe_cpu,16,20,142.90,16,0,yolov8n_safe.onnx,
safe_cpu,32,20,195.70,32,0,yolov8n_safe.onnx,
